BATCH_ID,PRODUCTION_DATE,TEMPERATURE,DEFECT_COUNT,QUALITY_SCORE,HUMIDITY,MACHINE_RUNTIME,PRESSURE_BAR,OPERATOR_ID,MACHINE_ID
BATCH_4616,2024-06-15,242.0557446832728,42,88.0,79.9,55,2.5,014,03
BATCH_7165,2024-02-11,205.4546831881043,6,45.0,52.2,49,5.64,016,01
BATCH_2802,2024-06-23,164.44128795589768,33,100.0,79.5,18,2.3938606719999997,007,07
BATCH_6856,2024-02-28,182.47873207012367,23,82.0,54.8,68,8.711529259999999,002,03
BATCH_8953,2024-06-21,204.73551268387493,0,97.0,77.3,45,4.89,007,06
BATCH_9219,2024-01-07,236.2829719236737,46,92.0,78.3,32,8.03,008,01
BATCH_4573,2024-03-22,153.26884753892088,48,99.0,45.0,39,1.857448344,007,10
BATCH_3566,2024-05-16,167.28683114007936,40,98.0,60.9,60,7.534593728,017,06
BATCH_2456,2024-04-14,210.86660162309244,4,97.0,45.3,67,5.7,004,09
BATCH_3382,2024-06-22,208.09941789151367,11,93.0,44.9,30,2.446950324,013,01
BATCH_4306,2024-01-13,153.21030795556314,16,92.0,35.7,63,8.75,009,04
BATCH_9141,2024-01-13,160.37344590275626,2,88.0,33.9,41,3.82,014,06
BATCH_3547,2024-06-25,192.84028942009,21,100.0,41.3,57,9.48,017,02
BATCH_8838,2024-07-15,248.8572114742857,23,85.0,52.9,71,8.65981856,007,07
BATCH_8940,2024-04-15,228.20844424482317,46,90.0,58.8,12,10.272502924,019,05
BATCH_8062,2024-03-17,174.05363707445895,42,84.0,76.6,9,4.895969076,020,01
BATCH_1634,2024-04-27,245.883204945864,3,92.0,76.3,20,9.16,001,09
BATCH_7841,2024-01-02,192.1464994479127,29,85.0,66.9,72,5.44,002,03
BATCH_9767,2024-07-09,216.9761336911108,1,91.0,65.7,66,3.865891932,011,07
BATCH_6086,2024-05-11,156.08141567370933,41,80.0,55.5,37,4.24,002,09
BATCH_7057,2025-04-06,225.36754232225357,45,81.0,38.5,49,5.79,017,05
BATCH_9680,2024-05-26,153.5274124715719,31,83.0,48.6,47,1.04,004,08
BATCH_5421,2024-01-03,191.28588656973795,12,84.0,40.6,39,1.69,004,04
BATCH_3612,2024-02-09,227.56811701262984,23,99.0,68.0,17,2.8964886759999997,010,09
BATCH_4312,2024-04-24,204.364931468103,50,70.0,43.5,71,2.893041296,004,03
BATCH_9870,2024-05-04,194.46565085015703,24,92.0,42.4,12,1.5209840559999999,009,10
BATCH_4565,2024-07-16,236.146763968785,15,100.0,49.3,13,3.54,018,08
BATCH_4693,2024-03-09,206.2862974060604,23,81.0,43.5,67,6.17,010,06
BATCH_4481,2024-02-25,191.1671106278393,42,81.0,48.5,37,5.74,020,03
BATCH_8640,2024-07-18,193.8548693842618,20,91.0,72.7,13,8.953535336,004,08
BATCH_7087,2024-07-14,209.57125851919253,35,92.0,34.2,6,3.466685328,009,08
BATCH_8997,2024-05-21,185.50786152022468,46,100.0,46.7,5,1.4,004,05
BATCH_8289,2024-04-20,172.66318798392786,40,89.0,34.2,39,2.611045612,003,03
BATCH_8571,2024-06-12,175.91882726346796,1,97.0,69.9,29,2.073254332,004,10
BATCH_8798,2024-07-19,160.1978946108496,43,88.0,46.4,15,9.665764044,010,03
BATCH_4684,2024-06-12,195.77510925721853,43,97.0,58.5,14,8.100653524,013,08
BATCH_1286,2024-02-18,207.89267303201387,35,84.0,37.0,37,2.54,016,06
BATCH_7756,2024-07-17,181.1392218641304,19,98.0,35.9,41,4.542957364,001,05
BATCH_5255,2024-02-03,200.9862673152512,6,99.0,75.6,28,5.504086908,015,03
BATCH_3082,2024-04-19,220.8226284265343,30,97.0,46.3,12,1.6450897359999999,017,07
BATCH_7242,2024-04-27,182.99393238039863,48,95.0,71.9,67,2.86,005,09
BATCH_4176,2024-05-27,205.36849721469693,17,99.0,57.6,17,7.616641371999999,004,04
BATCH_3152,2024-01-17,206.91462111560895,21,96.0,47.2,45,6.25,004,01
BATCH_6414,2024-07-07,198.1445964548672,26,100.0,77.2,69,1.542357812,012,05
BATCH_9685,2024-02-13,203.63732579260372,28,85.0,67.8,8,4.22,015,08
BATCH_6511,2024-04-07,176.39535611349942,30,96.0,60.8,56,8.470902136,005,01
BATCH_7159,2024-02-07,206.08163223609668,0,97.0,35.8,48,9.6,004,03
BATCH_6263,2024-04-06,165.68090406912685,46,95.0,39.0,53,9.150725472,008,05
BATCH_9531,2024-05-01,206.08365332773337,4,91.0,30.3,54,1.116261644,001,09
BATCH_6230,2024-05-01,248.8688233252657,20,99.0,60.9,62,5.055238031999999,012,05
BATCH_5578,2024-01-20,242.89379691241223,2,100.0,70.3,46,7.82,019,01
BATCH_3576,2024-05-06,202.3283170600768,31,82.0,50.5,39,4.8242635719999996,012,02
BATCH_7492,2024-01-28,242.78321302864825,40,83.0,46.4,60,2.32,003,03
BATCH_5488,2024-07-15,195.0306005191612,25,97.0,63.5,58,5.76,001,07
BATCH_5201,2024-01-01,235.8780792683006,3,96.0,50.9,10,4.246482684,018,08
BATCH_8409,2024-01-24,230.1340835665099,24,91.0,66.0,8,5.85,005,09
BATCH_3797,2024-07-10,221.84123460185884,20,96.0,52.7,30,5.941214692,015,04
BATCH_5271,2024-03-14,1868.9248351709084,8,93.0,73.5,25,4.28,019,09
BATCH_7463,2024-06-15,224.130569152911,0,88.0,60.9,25,8.269575144,002,05
BATCH_8970,2024-01-18,200.9051287303427,39,92.0,37.6,41,4.05,018,04
BATCH_5724,2024-04-07,233.3803414171552,36,96.0,35.7,45,6.039120284,007,08
BATCH_9685,2024-06-27,223.2725744652643,13,98.0,51.3,45,3.4756485159999997,002,10
BATCH_6174,2024-04-06,190.6927166229759,29,81.0,56.4,21,8.907340443999999,018,02
BATCH_3192,2024-04-29,242.9983423407222,28,99.0,42.0,22,8.22,020,05
BATCH_4853,2024-02-06,180.8156668612147,30,93.0,50.5,50,2.32,016,05
BATCH_1234,2024-06-25,177.97097581404725,26,99.0,32.1,49,3.252947768,012,05
BATCH_5077,2024-03-04,239.1714653293652,40,89.0,56.6,28,8.11,006,09
BATCH_6461,2024-01-23,184.9779609268652,1,82.0,68.1,28,5.437897212,010,07
BATCH_1790,2024-03-10,150.46896408819936,28,81.0,57.9,21,5.43,010,09
BATCH_7406,2024-01-14,197.5474769259823,9,89.0,39.2,6,5.2841440639999995,018,06
BATCH_2495,2024-05-06,216.7908276240713,36,82.0,71.6,27,6.32,008,05
BATCH_5052,2024-01-30,197.38861709949649,41,89.0,56.6,33,5.006974712,006,03
BATCH_6932,2024-03-27,214.75876635564745,50,93.0,34.8,55,1.48,009,06
BATCH_2472,2024-05-30,188.85820492344888,49,88.0,51.4,38,6.36,003,02
BATCH_2159,2024-01-23,163.62942025649724,1,6.0,50.8,30,1.11695112,004,09
BATCH_4681,2024-04-24,160.63015294811487,7,92.0,53.6,39,7.73,003,08
BATCH_9589,2024-06-29,153.18168826451452,32,84.0,38.0,68,7.98,003,06
BATCH_2842,2024-05-31,175.18272591439148,32,83.0,57.5,5,4.085834776,020,01
BATCH_2014,2024-01-29,242.01430707126667,9,82.0,60.8,38,8.58,011,06
BATCH_9309,2024-03-21,159.4460337557889,16,80.0,37.3,40,8.558465587999999,017,08
BATCH_3550,2024-07-16,216.51861731227237,22,96.0,74.8,18,4.68,015,08
BATCH_4495,2024-01-03,189.05778473256584,50,90.0,70.3,58,5.59,002,10
BATCH_9744,2024-05-05,212.60143781518445,27,92.0,46.6,6,2.72,001,06
BATCH_6807,2024-03-17,207.81984377501863,32,97.0,43.5,11,2.0415384359999997,019,08
BATCH_9642,2024-01-25,175.68474121369815,42,85.0,45.0,8,6.39,019,10
BATCH_1287,2024-05-28,174.84970826883404,0,86.0,48.4,46,4.45,018,09
BATCH_7029,2024-05-15,163.81811653045085,21,88.0,59.9,15,3.0033574560000003,001,07
BATCH_6834,2024-06-28,243.98263202288072,39,66.0,63.1,55,1.74,019,04
BATCH_4956,2024-05-06,155.11381052427706,3,93.0,64.9,67,6.11,014,06
BATCH_2856,2024-01-28,171.8371155822514,37,87.0,57.8,11,8.469523184,005,04
BATCH_7897,2024-05-08,168.07635762809895,38,82.0,45.3,70,7.3601563,004,06
BATCH_6624,2024-06-15,244.336846140121,28,86.0,73.5,66,2.9,013,02
BATCH_4113,2024-05-27,223.79507613583505,15,98.0,75.6,68,5.2,004,01
BATCH_1099,2024-02-02,156.6754656506429,42,87.0,55.5,14,5.695761236,014,04
BATCH_5033,2024-07-04,198.8650528148285,50,82.0,31.9,72,9.63,004,10
BATCH_6890,2024-03-29,248.30391610147797,29,94.0,72.5,31,5.67,005,09
BATCH_6652,2024-05-23,154.18897244593475,30,95.0,60.0,9,4.094108488,018,06
BATCH_3930,2024-02-11,228.4052858758597,45,88.0,78.8,69,7.44,009,08
BATCH_9822,2024-03-24,233.6031780781344,43,92.0,64.9,5,6.197699764,019,07
BATCH_6345,2024-01-19,203.4142494152548,1,98.0,60.5,64,4.24,003,03
BATCH_6868,2024-01-28,189.1693496339596,50,89.0,31.9,60,10.027738944,016,10
BATCH_4426,2024-06-29,184.24058018975649,9,95.0,35.8,64,8.486070608,006,08
BATCH_7089,2024-03-19,204.8903786038243,50,47.0,49.3,60,8.623276332,004,06
BATCH_8923,2024-03-01,217.67121182965047,19,95.0,31.8,11,5.995683295999999,003,10
BATCH_9359,2024-03-03,157.599059571942,4,84.0,43.6,31,8.76,018,01
BATCH_5928,2024-03-15,202.34856819425443,28,85.0,51.1,61,9.643700812,017,09
BATCH_1125,2024-03-09,190.7640950290719,32,96.0,70.1,52,9.560274216,015,10
BATCH_1354,2024-02-18,177.22119662887033,13,98.0,53.5,41,9.0838463,018,01
BATCH_8815,2024-01-02,160.4489505724467,42,86.0,33.6,61,7.05,015,07
BATCH_3548,2025-01-07,175.47231444931268,47,82.0,44.1,17,6.08807308,005,07
BATCH_3995,2024-03-03,249.05349234402055,28,100.0,60.5,27,5.974999016,006,01
BATCH_7226,2024-03-24,210.67958566445623,36,86.0,46.0,70,3.81624966,011,07
BATCH_2269,2024-02-04,198.26498685782232,47,93.0,73.2,13,4.434709632,017,04
BATCH_9344,2024-07-12,204.40730195598636,10,99.0,67.8,4,7.144350312,015,06
BATCH_2009,2024-01-19,207.15886975426216,2,4.0,76.3,67,9.668521947999999,004,10
BATCH_1701,2024-05-07,190.73971081032812,2,92.0,35.2,10,5.01,002,09
BATCH_3401,2024-03-10,219.94315296559483,3,97.0,38.4,44,7.26,001,08
BATCH_2332,2024-06-22,247.0054298994583,11,81.0,35.3,65,2.93,009,05
BATCH_3772,2024-01-26,176.19486300059523,2,80.0,68.1,48,8.97,006,04
BATCH_1311,2024-03-20,181.23455420865628,9,93.0,54.1,67,9.862264704,016,02
BATCH_2975,2024-06-07,245.6163711270437,24,92.0,52.3,61,7.68,013,10
BATCH_6821,2024-06-11,229.35274538433103,14,85.0,54.4,55,8.74,013,04
BATCH_7406,2024-01-24,219.6741555785404,42,92.0,67.4,40,5.2627703079999995,010,10
BATCH_6940,2024-03-19,206.08973223713437,42,91.0,64.1,58,5.95,010,06
BATCH_5616,2024-01-13,220.27189128084584,8,81.0,46.2,57,1.814011356,006,10
BATCH_3284,2024-01-21,209.13369913452212,43,88.0,76.5,51,6.37,004,07
BATCH_7979,2024-06-20,219.12485670639688,1,80.0,48.9,59,1.557526284,004,08
BATCH_7371,2024-03-24,210.10908338689444,33,83.0,35.4,10,4.11,019,07
BATCH_8755,2024-02-02,243.85166176180812,2,79.0,33.5,61,6.96,012,10
BATCH_3736,2024-07-07,160.71604135818828,37,96.0,62.4,42,4.280267008,012,03
BATCH_1641,2024-03-12,170.3735288723904,43,81.0,67.9,64,1.2,018,07
BATCH_3173,2024-03-08,164.77726927099673,11,95.0,72.1,34,4.8952796,007,09
BATCH_1516,2024-02-23,182.3480969559107,40,87.0,52.4,23,5.987409584,019,10
BATCH_1938,2024-04-05,223.69100010078608,17,83.0,79.0,63,1.494783968,013,04
BATCH_3480,2024-02-16,201.0543301523369,45,93.0,45.6,41,2.91,012,03
BATCH_5748,2024-04-20,239.49113939187936,0,98.0,30.7,42,3.183310692,004,05
BATCH_7611,2024-05-17,159.0826196854288,10,95.0,66.3,22,5.45,016,10
