batch_id,production_date,temperature,pressure,pressure_unit,machine_id,defect_count,operator_id,quality_score,humidity,machine_runtime
BATCH_4616,2024-06-15,242.05574468327276,2.5,bar,MCH_03,42,OP_014,0.88,79.9,55
BATCH_7165,2024-02-11,205.4546831881043,5.64,bar,MCH_01,6,OP_016,0.45,52.2,49
BATCH_2802,2024-06-23,164.44128795589768,34.72,psi,MCH_07,33,OP_007,100.0,79.5,18
BATCH_6856,2024-02-28,182.47873207012367,126.35,psi,MCH_03,23,OP_002,82.0,54.8,68
BATCH_8953,2024-06-21,204.73551268387493,4.89,bar,MCH_06,-4,OP_007,97.0,77.3,45
BATCH_9219,2024-01-07,236.2829719236737,8.03,bar,MCH_01,46,OP_008,92.0,78.3,32
BATCH_4573,2024-03-22,153.26884753892088,26.94,psi,MCH_10,48,OPER_007,99.0,45.0,39
BATCH_3566,2024-05-16,167.28683114007936,109.28,psi,MCH_06,40,OP_017,98.0,60.9,60
BATCH_2456,2024-04-14,210.86660162309244,5.7,bar,MCH_09,4,OP_004,97.0,45.3,67
BATCH_3382,2024-06-22,208.09941789151372,35.49,psi,MCH_01,11,OP_013,93.0,44.9,30
BATCH_4306,2024-01-13,153.21030795556314,8.75,bar,MCH_04,16,OP_009,92.0,35.7,63
BATCH_9141,2024-01-13,160.37344590275626,3.82,bar,MCH_06,2,OP_014,88.0,33.9,41
BATCH_3547,2024-06-25,192.84028942009002,9.48,bar,MCH_02,21,OP_017,100.0,41.3,57
BATCH_8838,2024-07-15,248.8572114742857,125.6,psi,MCH_07,23,OP_007,85.0,52.9,71
BATCH_8940,2024-04-15,228.20844424482314,148.99,psi,MCH_05,46,OP_019,90.0,58.8,12
BATCH_8062,2024-03-17,174.05363707445895,71.01,psi,MCH_01,42,OP_020,84.0,76.6,9
BATCH_1634,2024-04-27,245.883204945864,9.16,bar,MCH_09,3,OP_001,92.0,76.3,20
BATCH_9496,2024-02-20,,4.12,bar,MACHINE09,15,OP_020,97.0,34.2,69
BATCH_7841,2024-01-02,192.1464994479127,5.44,bar,MCH_03,29,OP_002,85.0,66.9,72
BATCH_9767,2024-07-09,216.97613369111082,56.07,psi,MCH_07,1,OP_011,91.0,65.7,66
BATCH_6086,2024-05-11,156.08141567370933,4.24,bar,MCH_09,41,OP_002,80.0,55.5,37
BATCH_7057,2025-04-06,225.36754232225354,5.79,bar,MCH_05,45,OP_017,81.0,38.5,49
BATCH_9680,2024-05-26,153.5274124715719,1.04,bar,MCH_08,31,OP_004,83.0,48.6,47
BATCH_5421,2024-01-03,191.28588656973793,1.69,bar,MCH_04,12,OP_004,84.0,40.6,39
BATCH_3612,2024-02-09,227.56811701262984,42.01,psi,MCH_09,23,OP_010,99.0,68.0,17
BATCH_4312,2024-04-24,204.364931468103,41.96,psi,MCH_03,50,OP_004,0.7,43.5,71
BATCH_9870,2024-05-04,194.46565085015703,22.06,psi,MACHINE10,24,OP_009,92.0,42.4,12
,2024-01-07,173.57214628346952,8.93,bar,MCH_01,11,OP_010,93.0,61.8,42
BATCH_4565,2024-07-16,236.146763968785,3.54,bar,MCH_08,15,OP_018,100.0,49.3,13
BATCH_4693,2024-03-09,206.2862974060604,6.17,bar,MCH_06,23,OP_010,81.0,43.5,67
BATCH_4481,2024-02-25,191.16711062783926,5.74,bar,MCH_03,42,OP_020,81.0,48.5,37
BATCH_8640,2024-07-18,193.8548693842618,129.86,psi,MCH_08,20,OP_004,91.0,72.7,13
BATCH_7087,2024-07-14,209.57125851919255,50.28,psi,MCH_08,35,OP_009,92.0,34.2,6
BATCH_8997,2024-05-21,185.50786152022468,1.4,bar,MCH_05,46,OP_004,100.0,46.7,5
BATCH_8289,2024-04-20,172.66318798392786,37.87,psi,MCH_03,40,OP_003,89.0,34.2,39
BATCH_8571,2024-06-12,175.91882726346796,30.07,psi,MCH_10,1,OP_004,97.0,69.9,29
BATCH_8798,2024-07-19,160.1978946108496,140.19,psi,MCH_03,43,OP_010#,88.0,46.4,15
BATCH_4684,2024-06-12,195.77510925721853,117.49,psi,MCH_08,43,OPER_013,97.0,58.5,14
BATCH_1286,2024-02-18,207.89267303201387,2.54,bar,MCH_06,35,OPER_016,84.0,37.0,37
BATCH_7756,2024-07-17,181.13922186413038,65.89,psi,MCH_05,19,OP_001,98.0,35.9,41
BATCH_5255,2024-02-03,200.9862673152512,79.83,psi,MCH_03,6,OP_015,99.0,75.6,28
BATCH_3082,2024-04-19,220.82262842653427,23.86,psi,MCH_07,30,OP_017,97.0,46.3,12
BATCH_7242,2024-04-27,182.99393238039863,2.86,bar,MCH_09,48,OP_005,95.0,71.9,67
BATCH_4176,2024-05-27,205.36849721469693,110.47,psi,MCH_04,17,OP_004,99.0,57.6,17
BATCH_3152,2024-01-17,206.91462111560898,6.25,bar,MCH_01,21,OP_004,96.0,47.2,45
